Participant_ID,Dates,Calories
p01,2020-10-18,-8.58088973158985
p01,2020-10-19,-19.20730923323063
p01,2020-10-20,180.15894125508112
p01,2020-10-21,323.2155003147595
p01,2020-10-22,603.5809370763521
p01,2020-10-23,174.96041467119858
p01,2020-10-24,240.77992452060357
p01,2020-10-25,-16.16229295388473
p01,2020-10-26,-26.788712455929186
p01,2020-10-27,172.57753803305673
p01,2020-10-28,315.63409709262635
p01,2020-10-29,595.9995338547355
p01,2020-10-30,167.37901144931394
p01,2020-10-31,233.1985212988077
p01,2020-11-01,-23.74369617617961
p01,2020-11-02,-34.3701156768565
p01,2020-11-03,164.99613481185912
p01,2020-11-04,308.0526938716528
p01,2020-11-05,588.4181306329009
p01,2020-11-06,159.79760822780332
p01,2020-11-07,225.61711807800364
p01,2020-11-08,-31.325099396848657
p01,2020-11-09,-41.95151889864499
p01,2020-11-10,157.4147315895358
p01,2020-11-11,300.47129065009943
p01,2020-11-12,580.8367274115021
p01,2020-11-13,152.2162050067446
p01,2020-11-14,218.03571485565283
p01,2020-11-15,-38.90650261914351
p01,2020-11-16,-49.53292211952356
p01,2020-11-17,149.8333283683382
p01,2020-11-18,292.8898874281959
p01,2020-11-19,573.2553241896676
p01,2020-11-20,144.634801785047
p01,2020-11-21,210.45431163441188
p01,2020-11-22,-46.48790584062547
p01,2020-11-23,-57.114325342222116
p01,2020-11-24,142.25192514631368
p01,2020-11-25,285.3084842060627
p01,2020-11-26,565.6739209678328
p01,2020-11-27,137.0533985633493
p01,2020-11-28,202.87290841261594
p01,2020-11-29,-54.069309061684606
p01,2020-11-30,-64.69572856310063
p01,2020-12-01,134.67052192594286
p01,2020-12-02,277.7270809850892
p01,2020-12-03,558.0925177464343
p01,2020-12-04,129.47199534247764
p01,2020-12-05,195.291505191375
p01,2020-12-06,-61.65071228316654
p01,2020-12-07,-72.27713178402786
p01,2020-12-08,127.08911870391847
p01,2020-12-09,270.14567776353584
p01,2020-12-10,550.5111145250185
p01,2020-12-11,121.89059212059304
p01,2020-12-12,187.71010196902412
p01,2020-12-13,-69.23211550546148
p01,2020-12-14,-79.85853500672641
p01,2020-12-15,119.50771548159516
p01,2020-12-16,262.5642745419825
p01,2020-12-17,542.9297113034017
p01,2020-12-18,114.30918889908232
p01,2020-12-19,180.12869874778318
p01,2020-12-20,-76.81351872613044
p01,2020-12-21,-87.43993822760498
p01,2020-12-22,111.92631225957076
p01,2020-12-23,254.98287132042907
p01,2020-12-24,535.3483080815672
p01,2020-12-25,106.72778567719773
p01,2020-12-26,172.54729552642428
p01,2020-12-27,-84.39492194842535
p01,2020-12-28,-95.0213414493935
p01,2020-12-29,104.34490903919988
p01,2020-12-30,247.4014680994556
p01,2020-12-31,527.7669048605873
p01,2021-01-01,99.14638245531307
p01,2021-01-02,164.96589230462837
p01,2021-01-03,-91.97632516990731
p01,2021-01-04,-102.60274467118205
p01,2021-01-05,96.76350581717547
p01,2021-01-06,239.82006487639237
p01,2021-01-07,520.1855016387526
p01,2021-01-08,91.56497923361545
p01,2021-01-09,157.3844890828325
p01,2021-01-10,-99.55772839177938
p01,2021-01-11,-110.18414789301936
p01,2021-01-12,89.1821025951511
p01,2021-01-13,232.23866165541887
p01,2021-01-14,512.604098417136
p01,2021-01-15,83.98357601191782
p01,2021-01-16,149.80308586159146
p01,2021-01-17,-107.13913161244838
p01,2021-01-18,-117.76555111389787
p01,2021-01-19,81.60069937478022
p01,2021-01-20,224.65725843386548
p01,2021-01-21,505.0226951955192
p01,2021-01-22,76.40217279104611
p01,2021-01-23,142.2216826392406
p01,2021-01-24,-114.72053483474328
p01,2021-01-25,-125.34695433568646
p01,2021-01-26,74.01929615275583
p01,2021-01-27,217.0758552119619
p01,2021-01-28,497.4412919739027
p01,2021-01-29,68.82076956916154
p01,2021-01-30,134.6402794179997
p01,2021-01-31,-122.30193805622514
p01,2021-02-01,-132.92835755747487
p01,2021-02-02,66.43789293043244
p01,2021-02-03,209.4944519898287
p01,2021-02-04,489.85988875206795
p01,2021-02-05,61.239366347650844
p01,2021-02-06,127.05887619719569
p01,2021-02-07,-129.88334127728433
p01,2021-02-08,-140.50976077926347
p01,2021-02-09,58.85648970923485
p01,2021-02-10,201.91304876885522
p01,2021-02-11,482.27848553066934
p01,2021-02-12,53.65796312576625
p01,2021-02-13,119.47747297539978
p01,2021-02-14,-137.46474449876627
p01,2021-02-15,-148.09116400014193
p01,2021-02-16,51.275086488037225
p01,2021-02-17,194.33164554788172
p01,2021-02-18,474.6970823092534
p01,2021-02-19,46.07655990406857
p01,2021-02-20,111.89606975360385
p01,2021-02-21,-145.04614772106123
p01,2021-02-22,-155.67256722284048
p01,2021-02-23,43.69368326488712
p01,2021-02-24,186.75024232574847
p01,2021-02-25,467.11567908763686
p01,2021-02-26,38.49515668237093
p01,2021-02-27,104.31466653180797
p01,2021-02-28,-152.62755094173014
p01,2021-03-01,-163.2539704437678
p01,2021-03-02,36.11228004368951
p01,2021-03-03,179.16883910477497
p01,2021-03-04,459.5342758658023
p01,2021-03-05,30.913753461499233
p01,2021-03-06,96.73326331100401
p01,2021-03-07,-160.20895416402507
p01,2021-03-08,-170.83537366555632
p01,2021-03-09,28.530876822491912
p01,2021-03-10,171.58743588322156
p01,2021-03-11,451.9528726444035
p01,2021-03-12,23.3323502396146
p01,2021-03-13,89.15186008865317
p01,2021-03-14,-167.79035738632
p01,2021-03-15,-178.41677688734495
p01,2021-03-16,20.949473601294237
p01,2021-03-17,164.00603266073819
p01,2021-03-18,444.37146942256885
p01,2021-03-19,15.750947017916985
p01,2021-03-20,81.57045686741216
p01,2021-03-21,-175.37176060780192
p01,2021-03-22,-185.99818010918224
p01,2021-03-23,13.368070379269852
p01,2021-03-24,156.42462943918486
p01,2021-03-25,436.79006620073426
p01,2021-03-26,8.169543796219386
p01,2021-03-27,73.98905364561624
p01,2021-03-28,-182.95316382886108
p01,2021-03-29,-193.5795833300607
p01,2021-03-30,5.786667158899014
p01,2021-03-31,148.8432262182113
p02,2020-04-01,1143.3020144789498
p02,2020-04-02,1326.7491621437534
p02,2020-04-03,635.1182342268532
p02,2020-04-04,564.7265274142446
p02,2020-04-05,843.4185489908084
p02,2020-04-06,1044.8724546156652
p02,2020-04-07,878.9310643645017
p02,2020-04-08,1083.979810510416
p02,2020-04-09,1267.4269581749268
p02,2020-04-10,575.7960302576492
p02,2020-04-11,505.40432344585173
p02,2020-04-12,784.096345022909
p02,2020-04-13,985.5502506472859
p02,2020-04-14,819.6088603959723
p02,2020-04-15,1024.6576065418822
p02,2020-04-16,1208.104754207286
p02,2020-04-17,516.4738262886041
p02,2020-04-18,446.082119477112
p02,2020-04-19,724.7741410542257
p02,2020-04-20,926.2280466783737
p02,2020-04-21,760.2866564273057
p02,2020-04-22,965.3354025738395
p02,2020-04-23,1148.7825502384592
p02,2020-04-24,457.1516223195587
p02,2020-04-25,386.75991550871913
p02,2020-04-26,665.4519370859341
p02,2020-04-27,866.9058427100533
p02,2020-04-28,700.9644524582084
p02,2020-04-29,906.0131986048145
p02,2020-04-30,1089.4603462693158
p02,2020-05-01,397.82941835268485
p02,2020-05-02,327.4377115392902
p02,2020-05-03,606.1297331176428
p02,2020-05-04,807.5836387411412
p02,2020-05-05,641.6422484902473
p02,2020-05-06,846.6909946367718
p02,2020-05-07,1030.138142300489
p02,2020-05-08,338.5072143836397
p02,2020-05-09,268.1155075708973
p02,2020-05-10,546.8075291493512
p02,2020-05-11,748.2614347727617
p02,2020-05-12,582.3200445211501
p02,2020-05-13,787.3687906667982
p02,2020-05-14,970.8159383316622
p02,2020-05-15,279.1850104145151
p02,2020-05-16,208.79330360215766
p02,2020-05-17,487.4853251806678
p02,2020-05-18,688.9392308039082
p02,2020-05-19,522.9978405520526
p02,2020-05-20,728.0465866982644
p02,2020-05-21,911.4937343628354
p02,2020-05-22,219.86280644539033
p02,2020-05-23,149.47109963376482
p02,2020-05-24,428.1631212107087
p02,2020-05-25,629.6170268355288
p02,2020-05-26,463.6756365835236
p02,2020-05-27,668.7243827297306
p02,2020-05-28,852.1715303948782
p02,2020-05-29,160.54060247859587
p02,2020-05-30,90.14889566537187
p02,2020-05-31,368.8409172424172
p02,2020-06-01,570.2948228666169
p02,2020-06-02,404.35343261499435
p02,2020-06-03,609.4021787616878
p02,2020-06-04,792.8493264263682
p02,2020-06-05,101.2183985095507
p02,2020-06-06,30.826691696631997
p02,2020-06-07,309.51871327412596
p02,2020-06-08,510.9726188977045
p02,2020-06-09,345.03122864632775
p02,2020-06-10,550.079974792663
